"","Year","State","State.ANSI","Data.Item","type","Value","name","Carcinogen","Hormone.Disruptor","Neurotoxins","Developmental.or.Reproductive.Toxins","Bee.Toxins"
"67",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.346","BIFENTHRIN","POSSIBLE","SUSPECTED","","PRESENT","HIGH"
"68",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE"," (D)","CARBARYL","KNOWN","SUSPECTED","PRESENT","PRESENT","HIGH"
"69",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE"," (D)","CHLORPYRIFOS","","SUSPECTED","PRESENT","","HIGH"
"70",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.531","FENPROPATHRIN","","","","",""
"71",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.269","HEXYTHIAZOX","PROBABLE","","","",""
"72",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.793","IMIDACLOPRID","","","","","HIGH"
"73",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","5.571","MALATHION","POSSIBLE","SUSPECTED","PRESENT","","HIGH"
"74",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.245","METHOXYFENOZIDE","","","","","SLIGHT"
"75",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.884","PIPERONYL BUTOXIDE","POSSIBLE","SUSPECTED","","","MODERATE"
"76",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.074","PYRIPROXYFEN","","","","","SLIGHT"
"77",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.307","SPIROMESIFEN","","","","",""
"78",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.164","THIAMETHOXAM","","","","","HIGH"
"79",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","2.2","AZOXYSTROBIN","","","","",""
"80",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","1.5","BOSCALID","POSSIBLE","","","",""
"81",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","6","CAPTAN","KNOWN","","","",""
"82",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","2.4","CYPRODINIL","","","","",""
"83",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","1.9","FENHEXAMID","","","","",""
"84",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","2.4","FLUDIOXONIL","","","","","SLIGHT"
"85",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","2.6","MYCLOBUTANIL","","SUSPECTED","","PRESENT",""
"86",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","1.6","PROPICONAZOLE","POSSIBLE","SUSPECTED","","PRESENT","SLIGHT"
"87",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","1.9","PYRACLOSTROBIN","","","","","SLIGHT"
"88",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","1.7","PYRIMETHANIL","POSSIBLE","SUSPECTED","","","SLIGHT"
"89",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","2.1","TRIFLOXYSTROBIN","","","","",""
"90",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","2.4","TRIFLUMIZOLE","","","","","SLIGHT"
"91",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.4","ACETAMIPRID","","","","","MODERATE"
"92",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","2","BIFENAZATE","","","","","MODERATE"
"93",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","3.2","BIFENTHRIN","POSSIBLE","SUSPECTED","","PRESENT","HIGH"
"94",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE"," (D)","CARBARYL","KNOWN","SUSPECTED","PRESENT","PRESENT","HIGH"
"95",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE"," (D)","CHLORPYRIFOS","","SUSPECTED","PRESENT","","HIGH"
"96",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.9","FENPROPATHRIN","","","","",""
"97",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.5","HEXYTHIAZOX","PROBABLE","","","",""
"98",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.5","IMIDACLOPRID","","","","","HIGH"
"99",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","2.8","MALATHION","POSSIBLE","SUSPECTED","PRESENT","","HIGH"
"100",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.4","METHOXYFENOZIDE","","","","","SLIGHT"
"101",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.8","PIPERONYL BUTOXIDE","POSSIBLE","SUSPECTED","","","MODERATE"
"102",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.1","PYRIPROXYFEN","","","","","SLIGHT"
"103",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","1.3","SPIROMESIFEN","","","","",""
"104",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","2.7","THIAMETHOXAM","","","","","HIGH"
"105",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","34","AZOXYSTROBIN","","","","",""
"106",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","34","BOSCALID","POSSIBLE","","","",""
"107",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","76","CAPTAN","KNOWN","","","",""
"108",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","61","CYPRODINIL","","","","",""
"109",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","36","FENHEXAMID","","","","",""
"110",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","61","FLUDIOXONIL","","","","","SLIGHT"
"111",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","56","MYCLOBUTANIL","","SUSPECTED","","PRESENT",""
"112",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","25","PROPICONAZOLE","POSSIBLE","SUSPECTED","","PRESENT","SLIGHT"
"113",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","65","PYRACLOSTROBIN","","","","","SLIGHT"
"114",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","29","PYRIMETHANIL","POSSIBLE","SUSPECTED","","","SLIGHT"
"115",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","50","TRIFLOXYSTROBIN","","","","",""
"116",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","37","TRIFLUMIZOLE","","","","","SLIGHT"
"117",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","42","ACETAMIPRID","","","","","MODERATE"
"118",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","51","BIFENAZATE","","","","","MODERATE"
"119",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","58","BIFENTHRIN","POSSIBLE","SUSPECTED","","PRESENT","HIGH"
"120",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE"," (D)","CARBARYL","KNOWN","SUSPECTED","PRESENT","PRESENT","HIGH"
"121",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE"," (D)","CHLORPYRIFOS","","SUSPECTED","PRESENT","","HIGH"
"122",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","31","FENPROPATHRIN","","","","",""
"123",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","24","HEXYTHIAZOX","PROBABLE","","","",""
"124",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","12","IMIDACLOPRID","","","","","HIGH"
"125",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","28","MALATHION","POSSIBLE","SUSPECTED","PRESENT","","HIGH"
"126",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","37","METHOXYFENOZIDE","","","","","SLIGHT"
"127",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","4","PIPERONYL BUTOXIDE","POSSIBLE","SUSPECTED","","","MODERATE"
"128",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","5","PYRIPROXYFEN","","","","","SLIGHT"
"129",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","17","SPIROMESIFEN","","","","",""
"130",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","24","THIAMETHOXAM","","","","","HIGH"
"131",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","12,000","AZOXYSTROBIN","","","","",""
"132",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","146,100","CAPTAN","KNOWN","","","",""
"133",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","4,100","CYPRODINIL","","","","",""
"134",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE"," (D)","FENHEXAMID","","","","",""
"135",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","2,700","FLUDIOXONIL","","","","","SLIGHT"
"136",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE"," (D)","MYCLOBUTANIL","","SUSPECTED","","PRESENT",""
"137",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE"," (D)","PYRACLOSTROBIN","","","","","SLIGHT"
"138",2019,"FLORIDA",12,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE"," (D)","PYRIMETHANIL","POSSIBLE","SUSPECTED","","","SLIGHT"
